                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6579,                 3.3057,                 2.2977,                  1.568,                0.32763,                0.34783,                 0.4064,                0.22281,                0.35785,                 0.3913,                0.39139,                 0.0952,                 1.8606,                 2.3461,                 2.6134,                 1.6411,              0.0006615,              0.0006615,              0.0006615
                      2,                 1.7324,                 2.9572,                 2.0503,                  1.601,                0.22468,                0.52174,                0.26718,                0.13447,                0.20596,                0.47826,                 0.2517,                0.06234,                 2.1406,                 1.9497,                 2.0923,                 2.0612,              0.0012624,              0.0012624,              0.0012624
                      3,                 1.7095,                 2.8346,                   1.92,                 1.5755,                0.28336,                0.65217,                0.31728,                0.16654,                0.36972,                0.65217,                0.40364,                0.13117,                 1.9844,                 1.6463,                 1.8195,                  1.989,              0.0017973,              0.0017973,              0.0017973
                      4,                 1.7551,                 2.9622,                 1.9454,                 1.6181,                0.59781,                0.69565,                0.57173,                0.28796,                0.57878,                0.73913,                0.58052,                0.18919,                 2.0885,                 1.7303,                 1.9969,                 2.0918,               0.001703,               0.001703,               0.001703
                      5,                  1.667,                 2.7212,                 1.8083,                 1.5637,                0.71975,                0.52174,                 0.5883,                0.27602,                 0.7842,                0.56522,                0.64489,                 0.2678,                 1.9495,                 1.6309,                   1.77,                 1.8468,               0.001703,               0.001703,               0.001703
                      6,                 1.6301,                 2.7439,                 1.7265,                 1.5328,                      1,                0.80036,                0.89637,                0.51594,                      1,                0.78072,                0.85794,                0.33783,                 1.6181,                 2.0521,                 1.5973,                 1.6253,               0.001604,               0.001604,               0.001604
                      7,                 1.5931,                 2.8065,                 1.7369,                 1.5193,                0.78739,                0.82609,                0.85771,                0.49422,                0.74388,                0.78261,                0.80044,                0.34355,                 1.5599,                  1.183,                 1.1922,                 1.6119,               0.001505,               0.001505,               0.001505
                      8,                 1.5169,                 2.6451,                 1.6369,                  1.469,                   0.82,                 0.5948,                0.73792,                0.41765,                0.88681,                 0.6087,                0.73496,                0.31358,                 1.4231,                  1.464,                 1.5137,                 1.4862,               0.001406,               0.001406,               0.001406
                      9,                 1.4531,                 2.5471,                 1.5389,                 1.4467,                0.90164,                0.78261,                0.87203,                0.50204,                0.90164,                0.78261,                0.87351,                0.40009,                 1.3396,                 1.2611,                 1.1176,                 1.4645,               0.001307,               0.001307,               0.001307
                     10,                 1.4414,                 2.5775,                  1.523,                 1.4231,                0.69517,                0.69413,                0.66633,                 0.4187,                0.76417,                0.73913,                0.76858,                 0.3767,                 1.3274,                 1.3142,                 1.2628,                 1.4463,               0.001208,               0.001208,               0.001208
                     11,                  1.503,                 2.2925,                 1.6093,                 1.5721,                0.61344,                0.73913,                0.75183,                 0.4479,                0.61344,                0.73913,                0.75234,                0.33039,                 1.4141,                  1.211,                 1.1931,                 1.3749,               0.001109,               0.001109,               0.001109
                     12,                 1.4804,                 2.2405,                 1.5519,                 1.5684,                0.88642,                0.86957,                 0.9233,                0.56654,                 0.8421,                0.82609,                0.90346,                0.41978,                 1.3364,                 1.1347,                 1.0369,                 1.3498,                0.00101,                0.00101,                0.00101
                     13,                 1.4255,                 2.2002,                 1.4658,                 1.5121,                 0.9903,                0.86957,                0.90079,                0.50954,                0.89319,                0.86957,                0.88863,                 0.4017,                 1.3311,                 1.3005,                 1.1229,                 1.3293,               0.000911,               0.000911,               0.000911
                     14,                 1.4014,                 2.1554,                 1.4772,                  1.513,                0.92069,                0.91304,                0.90461,                0.59386,                0.90564,                0.91304,                0.91724,                0.38493,                 1.1973,                 1.1502,                0.97861,                 1.2991,               0.000812,               0.000812,               0.000812
                     15,                 1.3417,                 2.1273,                 1.4294,                 1.4796,                0.79032,                0.73913,                0.80874,                0.54807,                0.77897,                0.76661,                0.81164,                0.42527,                 1.1621,                 1.0559,                 1.0456,                 1.2638,               0.000713,               0.000713,               0.000713
                     16,                 1.3194,                 2.1199,                 1.4054,                  1.476,                0.83119,                0.86957,                 0.8835,                0.55885,                0.90791,                0.85773,                0.91286,                0.49715,                 1.1345,                 1.0793,                0.97316,                  1.257,               0.000614,               0.000614,               0.000614
                     17,                 1.2813,                 2.0406,                 1.3366,                 1.4214,                0.80787,                0.78261,                0.85009,                0.60455,                0.89672,                0.75554,                 0.8634,                0.42712,                 1.1482,                 1.1967,                 1.0526,                 1.2781,               0.000515,               0.000515,               0.000515
                     18,                 1.2176,                 2.0199,                 1.2983,                 1.4107,                0.89615,                0.91304,                0.92432,                0.67813,                0.89615,                0.91304,                0.91345,                0.47897,                0.99814,                  1.063,                0.90411,                 1.1527,               0.000416,               0.000416,               0.000416
                     19,                 1.1998,                  2.011,                 1.2726,                  1.383,                0.90143,                0.91304,                0.92672,                0.65209,                 0.9322,                0.91304,                0.93369,                0.45083,                 1.1104,                 1.1226,                0.88067,                 1.1925,               0.000317,               0.000317,               0.000317
                     20,                 1.1535,                 1.9466,                 1.2286,                 1.3609,                0.89922,                0.78261,                0.88984,                0.66611,                0.89922,                0.78261,                0.88984,                 0.4852,                 1.0052,                 1.1212,                0.94705,                 1.1992,               0.000218,               0.000218,               0.000218
